Date,MSCI USA Value
12/1978,10000
01/1979,10520.183823939498
02/1979,10193.082062665224
03/1979,10757.32562938506
04/1979,10741.765289846182
05/1979,10518.008722713634
06/1979,11068.197789204807
07/1979,11227.091722345542
08/1979,11676.110695920848
09/1979,11694.013452164503
10/1979,10861.172769963525
11/1979,11190.616947942579
12/1979,11269.645625815667
01/1980,11974.434194822144
02/1980,11910.854312835329
03/1980,11008.18730410146
04/1980,11608.849873397954
05/1980,12201.592843359249
06/1980,12518.153729462028
07/1980,13169.847519826888
08/1980,13215.022699133306
09/1980,13332.199306198481
10/1980,13534.260632898688
11/1980,14635.86574605972
12/1980,14288.74189914223
01/1981,14030.797202485193
02/1981,14147.193003982109
03/1981,14880.536748056353
04/1981,14994.534361022186
05/1981,15094.589017411965
06/1981,15074.343844463532
07/1981,14880.536748056353
08/1981,14081.661108074646
09/1981,13567.166010418177
10/1981,13959.911211252524
11/1981,14523.987462493447
12/1981,14106.869973564155
01/1982,13972.236784865758
02/1982,13424.836309689797
03/1982,13437.719601566074
04/1982,13784.508817525739
05/1982,13360.02944752429
06/1982,13199.741218725949
07/1982,12796.622458199017
08/1982,14373.013128687913
09/1982,14368.105207973142
10/1982,15962.119775574172
11/1982,16368.919476637182
12/1982,16582.302484077143
01/1983,17462.10304402628
02/1983,17708.558744464644
03/1983,18368.1163623384
04/1983,19953.988243299016
05/1983,19771.05665302116
06/1983,20146.456815874895
07/1983,19812.550891791503
08/1983,20443.88796555532
09/1983,20546.34081047618
10/1983,20456.38085464747
11/1983,20919.510100277745
12/1983,20763.348986625915
01/1984,21003.614014344515
02/1984,20171.832996843317
03/1984,20523.139730733623
04/1984,20795.417786750844
05/1984,19389.298501968748
06/1984,19531.907061828646
07/1984,19208.76510022197
08/1984,21397.02847709451
09/1984,21821.954021706395
10/1984,21676.55687053128
11/1984,21641.30907630701
12/1984,22173.706930207136
01/1985,23703.416582079393
02/1985,24028.34324212781
03/1985,24194.04133807766
04/1985,24467.155971489443
05/1985,25948.622993608555
06/1985,26340.47584522203
07/1985,25939.532185920954
08/1985,25792.908054567157
09/1985,24844.61969191644
10/1985,26116.328875305353
11/1985,27415.700884541173
12/1985,28454.841552241473
01/1986,28692.819935081596
02/1986,30764.687510457217
03/1986,32196.852238123396
04/1986,31262.004885611987
05/1986,32733.43297899633
06/1986,32969.62666339472
07/1986,31398.645860057335
08/1986,34453.603417697515
09/1986,32087.093283956678
10/1986,33898.61797414418
11/1986,34699.668715351756
12/1986,33522.715864853715
01/1987,37638.50933062654
02/1987,37870.297040746904
03/1987,39105.41990608025
04/1987,38755.39592419494
05/1987,38963.5921517886
06/1987,40913.09634025276
07/1987,42667.45490847843
08/1987,43802.076942811575
09/1987,42974.19995315166
10/1987,34211.88832249501
11/1987,31632.831758708773
12/1987,33570.846950954256
01/1988,36114.93457964775
02/1988,37262.495677683466
03/1988,36106.12263109168
04/1988,36836.175837413975
05/1988,37351.507512465
06/1988,39276.19323822378
07/1988,39241.16853130473
08/1988,37753.34352098694
09/1988,39136.26172602648
10/1988,40399.54936364346
11/1988,39784.33034768156
12/1988,40275.28973463765
01/1989,43344.41333615911
02/1989,42084.91818273081
03/1989,42705.88169680205
04/1989,44542.28062152123
05/1989,45839.58907318379
06/1989,45739.199785836194
07/1989,48925.44422259652
08/1989,49779.58974244572
09/1989,49403.57608950263
10/1989,47777.82735273449
11/1989,48382.115090740765
12/1989,49617.40527155303
01/1990,46686.09385282931
02/1990,47820.54857168353
03/1990,48141.45966023803
04/1990,46523.909381936624
05/1990,49998.494160689785
06/1990,48841.89802679278
07/1990,48876.25347179618
08/1990,44566.37405048466
09/1990,42514.249701620734
10/1990,42107.171141426195
11/1990,44966.425360564856
12/1990,46093.90860113106
01/1991,48315.02158369678
02/1991,51081.35994021261
03/1991,51620.0042386588
04/1991,51806.95140043056
05/1991,53883.336493736824
06/1991,51329.93497005053
07/1991,53208.274308150496
08/1991,53867.49729506642
09/1991,53591.649842165745
10/1991,54652.42997847208
11/1991,51638.966659602236
12/1991,55706.294408316695
01/1992,55329.44417797906
02/1992,56395.74572508952
03/1992,55309.03168955171
04/1992,58051.44393258302
05/1992,58222.32880837917
06/1992,57927.57470636134
07/1992,60094.53324558566
08/1992,58160.366309355166
09/1992,58777.20270827989
10/1992,58420.374563585465
11/1992,59758.50799210271
12/1992,60662.90392745201
01/1993,62403.82148553837
02/1993,64616.568694158464
03/1993,66395.18800682647
04/1993,66139.75304235311
05/1993,67024.96346945377
06/1993,68051.77856354085
07/1993,69232.8585291854
08/1993,71638.24162586029
09/1993,71639.8032369968
10/1993,71484.64601621845
11/1993,70093.36203723328
12/1993,71252.74676244549
01/1994,74286.56679791637
02/1994,71482.41514316628
03/1994,68716.5787330872
04/1994,70043.61356816991
05/1994,71190.22654515847
06/1994,69441.4451595632
07/1994,71764.50904061305
08/1994,73807.26372265785
09/1994,71257.54313950764
10/1994,73021.66177733656
11/1994,70126.10009927386
12/1994,70919.34278479884
01/1995,72965.276460943
02/1995,75931.9472175436
03/1995,77869.96240978908
04/1995,80492.24213896108
05/1995,83720.03658631806
06/1995,84982.5991901931
07/1995,88211.0071276394
08/1995,88869.61662446598
09/1995,91875.82960591628
10/1995,90558.94524322094
11/1995,95155.26876443096
12/1995,97223.2880837916
01/1996,100277.74369499504
02/1996,101025.92274486621
03/1996,102768.34614226277
04/1996,104189.13341736289
05/1996,105302.67370135302
06/1996,104979.86637070419
07/1996,100224.25851356926
08/1996,103033.5969481657
09/1996,107194.90022420275
10/1996,110933.11842589598
11/1996,119290.97277219441
12/1996,117234.33090539984
01/1997,123335.21098481891
02/1997,123944.51818719256
03/1997,119602.73728123504
04/1997,124552.59840938752
05/1997,131690.27673980212
06/1997,136604.89007373035
07/1997,148412.06456146613
08/1997,141566.68637271196
09/1997,149625.43641454083
10/1997,145988.33253393718
11/1997,151906.83874134146
12/1997,155630.66781184817
01/1998,153909.77233940503
02/1998,164086.5690287894
03/1998,172316.48280554597
04/1998,175936.35319182163
05/1998,171788.60246957646
06/1998,173365.4393146758
07/1998,170854.75900993854
08/1998,143930.07328417976
09/1998,151763.7840068711
10/1998,164264.92732931033
11/1998,173515.52129926046
12/1998,178364.82582458647
01/1999,182811.79239495378
02/1999,181261.61448282783
03/1999,185793.01959821978
04/1999,202167.7393447926
05/1999,198519.59264258068
06/1999,204034.81277397915
07/1999,198386.35374953988
08/1999,191893.2304157232
09/1999,183038.1144660963
10/1999,193321.49111554807
11/1999,192671.30316449344
12/1999,196568.86147393784
01/2000,190490.7920714772
02/2000,177898.85221581467
03/2000,196430.32425739814
04/2000,196915.20451528707
05/2000,197224.6823794492
06/2000,192237.17526854135
07/2000,193872.07058482338
08/2000,203515.6886147394
09/2000,202379.33765379083
10/2000,205322.08229690685
11/2000,193067.61776221124
12/2000,201048.67764999834
01/2001,204737.76087271754
02/2001,194512.83309723262
03/2001,186764.34172513417
04/2001,198881.6633389477
05/2001,201477.8418534094
06/2001,196562.55925756544
07/2001,194195.6587210405
08/2001,182377.99912995953
09/2001,167621.8893263879
10/2001,165227.49327949493
11/2001,174951.1438801575
12/2001,176481.02084750868
01/2002,174406.86662725458
02/2002,168519.64841440698
03/2002,179159.29549029013
04/2002,169587.23271352245
05/2002,169039.05143277821
06/2002,156749.00447290047
07/2002,140716.55642435668
08/2002,141230.4938037501
09/2002,124548.08089145688
10/2002,135208.4750867252
11/2002,146062.6763784007
12/2002,135870.37512130372
01/2003,133032.31419616067
02/2003,129659.62454406533
03/2003,129011.0539759735
04/2003,142486.19647298972
05/2003,152983.9600227549
06/2003,154910.0958159976
07/2003,156669.19498945912
08/2003,159346.68882667233
09/2003,157761.8208385852
10/2003,165910.69815172168
11/2003,167905.32174766596
12/2003,179806.30444724546
01/2004,182423.6762557027
02/2004,185522.08006603384
03/2004,182826.51615709809
04/2004,179267.1024305362
05/2004,180526.37449665926
06/2004,185121.69412499582
07/2004,182489.7100980469
08/2004,185270.93953218593
09/2004,186748.2236673322
10/2004,189373.68239060356
11/2004,197724.17485582983
12/2004,204390.19085118963
01/2005,200282.4285284046
02/2005,206217.49896822122
03/2005,202823.00253204093
04/2005,199689.18361200657
05/2005,203578.65500663687
06/2005,204724.37563440454
07/2005,209770.94510936856
08/2005,207919.1531605894
09/2005,210702.61346778058
10/2005,205992.9615955204
11/2005,213380.38616412535
12/2005,214858.5626484925
01/2006,220427.26796131668
02/2006,222252.84715173283
03/2006,224930.34098894603
04/2006,230698.87675541826
05/2006,224852.20466029382
06/2006,225917.89271731494
07/2006,231758.54145519852
08/2006,236235.5690399438
09/2006,241738.3520540764
10/2006,249638.37547824343
11/2006,254095.54829282445
12/2006,259891.85842879608
01/2007,262835.3281056541
02/2007,258405.427714136
03/2007,262436.4480039263
04/2007,273253.56103110954
05/2007,282660.8738329745
06/2007,276351.51866683026
07/2007,263921.0382483185
08/2007,267566.95407747827
09/2007,276480.8535320298
10/2007,276718.4972839121
11/2007,262743.91808234155
12/2007,259042.6208296617
01/2008,248363.31998527626
02/2008,236289.10999319586
03/2008,235523.08395890731
04/2008,244810.04115960788
05/2008,243183.40007361883
06/2008,219539.71511751125
07/2008,218413.73771625527
08/2008,221484.70178804477
09/2008,207055.6937457474
10/2008,173773.35445226493
11/2008,163669.0053652497
12/2008,165655.26318724835
01/2009,146203.50023981885
02/2009,126134.84512163835
03/2009,137275.71360051757
04/2009,151231.44192479728
05/2009,161082.64269221757
06/2009,159401.01058549265
07/2009,172014.14373515075
08/2009,180581.86746383202
09/2009,186248.61964729897
10/2009,181348.45121638355
11/2009,192015.7611181136
12/2009,193672.74207761209
01/2010,189425.21555810867
02/2010,193779.04317854793
03/2010,205478.41072603763
04/2010,208478.48880659448
05/2010,191980.40178023672
06/2010,182396.68269177142
07/2010,194523.2066569252
08/2010,186374.5524310939
09/2010,200046.90410592186
10/2010,205213.15992013476
11/2010,203869.0589062029
12/2010,219736.86852349664
01/2011,225851.18961305503
02/2011,234934.74696322405
03/2011,234506.97705547063
04/2011,241474.77440296262
05/2011,237642.74798942567
06/2011,232764.05171163735
07/2011,224691.63757236392
08/2011,212057.9803906259
09/2011,197403.04067997012
10/2011,217185.58632920994
11/2011,216041.5946280577
12/2011,221141.9839154053
01/2012,228129.0783147985
02/2012,236982.29802233106
03/2012,243917.74771056653
04/2012,241468.36064293762
05/2012,227101.20355601166
06/2012,237836.77817313807
07/2012,240706.8521265797
08/2012,243781.1067361212
09/2012,250851.8588749707
10/2012,249292.81324246243
11/2012,247419.7164560351
12/2012,252016.93232646596
01/2013,267685.52498020104
02/2013,271679.90318010957
03/2013,282027.6405171164
04/2013,289277.47599022876
05/2013,295470.71421400766
06/2013,293116.25079474854
07/2013,306390.6147170695
08/2013,294767.09685335355
09/2013,301125.8658576034
10/2013,315124.2596290058
11/2013,323178.32483742514
12/2013,330685.54728893156
01/2014,318719.25578074984
02/2014,331161.7829137433
03/2014,340053.8755842099
04/2014,343977.59088019095
05/2014,348624.61099151155
06/2014,355785.6577171476
07/2014,349497.495844999
08/2014,361436.62647377054
09/2014,355786.7731536737
10/2014,362638.5093306265
11/2014,368699.73564154335
12/2014,368248.8204258737
01/2015,353282.0046625247
02/2015,370469.5987774816
03/2015,362457.02780783264
04/2015,369404.02226411307
05/2015,372450.0005577182
06/2015,362667.6779957837
07/2015,365245.95375400165
08/2015,343768.27921607124
09/2015,336364.29041505395
10/2015,362852.89623094
11/2015,363800.2364725436
12/2015,357874.7587868512
01/2016,342290.77199361974
02/2016,341627.1430324258
03/2016,364440.55281034234
04/2016,368598.23091766966
05/2016,374457.2843582336
06/2016,378571.5719846962
07/2016,389641.8891033006
08/2016,391592.1183255066
09/2016,390832.22719211155
10/2016,384997.93644242676
11/2016,403399.06972593727
12/2016,414532.57632374426
01/2017,416373.2139072626
02/2017,431342.3163154901
03/2017,428067.9523931691
04/2017,427387.7591995628
05/2017,427663.21624967933
06/2017,435489.3420039933
07/2017,441550.56831491005
08/2017,437257.69930062135
09/2017,449971.77945589006
10/2017,455299.1043044696
11/2017,468631.08052336285
12/2017,474325.55130450305
01/2018,492101.09201235906
02/2018,467007.1722568627
03/2018,456991.7792328028
04/2018,457754.34741386044
05/2018,459508.25980747567
06/2018,461809.5169044406
07/2018,481336.51604555437
08/2018,487446.1523017033
09/2018,489230.1814815229
10/2018,467617.03717749944
11/2018,481196.3614460519
12/2018,436584.5333571293
01/2019,467679.27853565494
02/2019,481998.02567734884
03/2019,485561.0088007942
04/2019,500898.20526262955
05/2019,467841.1283755898
06/2019,499526.7202819824
07/2019,504332.35546731215
08/2019,490785.2673143635
09/2019,507696.4562581566
10/2019,514687.5662290436
11/2019,529628.0576903771
12/2019,544045.9671392399
01/2020,530153.428294163
02/2020,478332.6454808089
03/2020,403037.44520418067
04/2020,445562.23578097293
05/2020,457766.28258468956
06/2020,454168.83247258817
07/2020,471031.55569932295
08/2020,489327.6148620763
09/2020,478159.418188308
10/2020,467103.76906002156
11/2020,527542.8606485148
12/2020,544313.0026435846
01/2021,537594.4495878462
02/2021,561982.2422505048
03/2021,599848.9141225419
04/2021,621590.333627065
05/2021,637399.4712830867
06/2021,631066.2457752841
07/2021,638096.6191118895
08/2021,650401.4456057379
09/2021,626503.7757526408
10/2021,661909.4600171777
11/2021,643603.3061538633
12/2021,687417.7644421144
01/2022,670287.5037645982
02/2022,657490.1562726573
03/2022,676301.7144259406
04/2022,642758.474529007
05/2022,654381.7135335914
06/2022,600329.444177979
07/2022,633930.5194587902
08/2022,615634.5160678632
09/2022,564725.0448963202
10/2022,627354.4634192592
11/2022,664911.26702435
12/2022,639602.2911066246
01/2023,659788.457462828
02/2023,636777.8942789261
03/2023,631700.148353058
04/2023,639631.8501745659
05/2023,613092.6593122219
06/2023,650498.7674426388
07/2023,673531.3047261046
08/2023,656172.1564734359
09/2023,632085.866303778
10/2023,613746.41666016
11/2023,657214.2530479303
12/2023,693022.0521801207
01/2024,696478.5668871513
02/2024,720076.4631738631
03/2024,754539.7708893375
04/2024,722456.6931768748
05/2024,742846.7613300466
06/2024,742400.8098069179
07/2024,777718.0399549364
08/2024,799630.9020535187
09/2024,813059.363531918
10/2024,803131.0303287192
11/2024,846269.0321357263
12/2024,786930.1513647366
01/2025,821689.1055314498
02/2025,829094.4328562984
03/2025,808425.3940279529
04/2025,779483.9990630334
05/2025,799641.8891033006
06/2025,834794.7039073742
07/2025,838591.315211208
08/2025,861368.863704811
09/2025,876411.3618364547
10/2025,867938.505984317
11/2025,882770.8001026202
12/2025,888983.279606474